week_end,n_selected,portfolio_return,turnover,gross_turnover,equity
2023-12-22,3,-0.0399529,0.001176336206896552,0.28448275862068967,0.4884453399412223
2023-12-29,3,0.07994908,0.0010945588235294116,0.2647058823529411,0.5274960954998102
2024-01-05,3,0.01729084,0.0017837254901960785,0.4313725490196078,0.5366169460877221
2024-01-12,3,0.03302519,0.0006891666666666667,0.16666666666666669,0.554338822689489
2024-01-19,3,-0.11350312,0.0,0.0,0.4914196367771052
2024-01-26,3,0.06325689,0.0010945588235294116,0.2647058823529411,0.5225053146845544
2024-02-02,3,-0.06987528,0.0010945588235294116,0.2647058823529411,0.48599510951948305
2024-02-09,3,0.00387188,0.001176336206896552,0.28448275862068967,0.4878768242641293
2024-02-16,3,0.00593948,0.0012221674876847295,0.29556650246305427,0.49077455890430965
2024-02-23,5,0.08310105,0.002663220338983051,0.6440677966101694,0.5315584400625446
2024-03-01,5,-0.01653602,0.0,0.0,0.5227685790665015
2024-03-08,5,-0.0117099,0.0009911985472154964,0.2397094430992736,0.5166470112824907
2024-03-15,5,0.02589164,0.0,0.0,0.5300238497056928
2024-03-22,5,-0.01582141,0.0,0.0,0.5216381250697206
2024-03-29,5,-0.08551492,0.0,0.0,0.47703028253543345
2024-04-05,5,-0.04243048,0.0004998351648351652,0.12087912087912095,0.4567896586729194
2024-04-12,5,0.01394226,0.0005301282051282052,0.12820512820512817,0.4631583388594485
2024-04-19,5,-0.05437031,0.0005301282051282049,0.12820512820512817,0.4379762763965752
2024-04-26,5,0.24231442,0.0006361538461538463,0.15384615384615385,0.544104243785371
2024-05-03,5,0.09308214,0.0004998351648351652,0.12087912087912095,0.594750631179995
2024-05-10,5,0.0245465,0.0,0.0,0.6093496775482549
2024-05-17,5,0.02435711,0.0,0.0,0.6241916746727623
2024-05-24,3,-0.02579239,0.0029535714285714287,0.7142857142857143,0.6080922795648492
2024-05-31,3,-0.02712679,0.0,0.0,0.5915966879964724
2024-06-07,3,0.08125481,0.0,0.0,0.6396667644762549
2024-06-14,3,-0.03763053,0.0,0.0,0.6155957651056283
2024-06-21,3,-0.01969212,0.0,0.0,0.6034733794276764
2024-06-28,3,-0.02373129,0.0,0.0,0.5891521776531983
2024-07-05,3,0.00993371,0.0,0.0,0.5950046445318736
2024-07-12,3,-0.02039575,0.0,0.0,0.5828690785531626
2024-07-19,3,-0.01624712,0.0,0.0,0.57339913468962
2024-07-26,3,0.00955383,0.0,0.0,0.5788772925445917
2024-08-02,3,-0.00241071,0.0007876190476190476,0.19047619047619047,0.5774817872666815
2024-08-09,3,-0.00686983,0.0,0.0,0.5735145855600633
2024-08-16,3,0.00416657,0.0,0.0,0.5759041742268203
2024-08-23,5,-0.00654964,0.0034458333333333337,0.8333333333333333,0.5721322092111373
2024-08-30,5,0.00104294,0.0,0.0,0.572728908777412
2024-09-06,5,-0.00815836,0.0,0.0,0.5680563801571987
2024-09-13,5,-0.04156547,0.0,0.0,0.544444849729466
2024-09-20,5,0.06457236,0.0020675000000000003,0.5,0.5796009385663431
2024-09-27,5,0.15348143,0.0008096503496503497,0.19580419580419578,0.6685589194468476
2024-10-04,5,0.18880716,0.0008096503496503497,0.19580419580419578,0.7947876303202758
2024-10-11,5,-0.05310098,0.0,0.0,0.7525836282583914
2024-10-18,5,-0.0364528,0.0020675000000000003,0.5,0.725149847774214
2024-10-25,5,0.00252918,0.0,0.0,0.7269838822662076
2024-11-01,5,-0.01467343,0.0,0.0,0.7163165351586461
2024-11-08,5,0.05383509,0.0,0.0,0.7548795002974
2024-11-15,5,-0.08276908,0.0,0.0,0.6923988185469244
2024-11-22,5,-0.01452152,0.0007657407407407404,0.1851851851851851,0.6823441352554189
2024-11-29,5,0.01722362,0.00105015873015873,0.2539682539682539,0.6940965713502869
2024-12-06,5,0.06792777,0.0,0.0,0.7412450036067578
2024-12-13,5,-0.00139585,0.0,0.0,0.7402103367684734
2024-12-20,5,-0.00972771,0.0,0.0,0.7330097852733873
2024-12-27,5,0.0315577,0.0,0.0,0.7561418881741093
2025-01-03,5,-0.07219926,0.00105015873015873,0.2539682539682539,0.7015490033929359
2025-01-10,5,-0.03068245,0.0,0.0,0.6800237611737823
2025-01-17,5,0.03231321,0.0,0.0,0.7019975117735806
2025-01-24,5,0.01897287,0.0,0.0,0.7153164193047843
2025-01-31,5,0.01994319,0.0,0.0,0.7295821105650993
2025-02-07,5,0.02986906,0.00105015873015873,0.2539682539682539,0.7513740424004949
2025-02-14,5,0.01464599,0.0004998351648351652,0.12087912087912095,0.7623786591117521
2025-02-21,5,0.01816629,0.0020409935897435895,0.4935897435897435,0.7762282509229872
2025-02-28,5,-0.0398498,0.0,0.0,0.7452957103693563
2025-03-07,5,0.04699233,0.0,0.0,0.7803188923386174
2025-03-14,5,0.02857138,0.0,0.0,0.8026136799328032
2025-03-21,5,-0.07211686,0.0,0.0,0.7447317015430045
2025-03-28,5,-0.01025652,0.0013518269230769228,0.32692307692307687,0.7370933459514947
2025-04-04,5,0.04153361,0.0,0.0,0.7677074935158392
2025-04-11,5,-0.0561815,0.0,0.0,0.7245765349688791
2025-04-18,5,0.01789112,0.001351826923076923,0.32692307692307687,0.7375400207051915
2025-04-25,5,0.02555697,0.0,0.0,0.7563893088881535
2025-05-02,5,0.01116124,0.0,0.0,0.7648315514980883
2025-05-09,5,-0.00268254,0.0,0.0,0.7627798602679327
2025-05-16,5,0.01799662,0.0,0.0,0.7765073195568276
2025-05-23,5,0.01588455,0.0024916025641025636,0.6025641025641024,0.788841788899694
2025-05-30,5,0.03168824,0.0,0.0,0.8138387968283769
2025-06-06,5,0.03517973,0.0,0.0,0.8424694259643242
2025-06-13,5,0.03329105,0.0,0.0,0.8705161177475739
2025-06-20,5,-0.03656597,0.0,0.0,0.8386848515014995
2025-06-27,5,0.04635682,0.0,0.0,0.8775636141992812
2025-07-04,5,0.01630304,0.0,0.0,0.8918705689041165
