date,close,volume,chg1d,ma5,ma20,chg5d,chg20d,dd_from_peak,w_signal,m_state,s_regime,f_state,daily_state,d_flow_z,mtf_regime,action_signal,risk_level,align_method,catalyst_score,target_now,position_eff
2026-07-13,2.31,6871795.0,0.004347826086956719,2.3,2.3280000000000003,-0.012820512820512775,-0.07228915662650603,-0.1923076923076923,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.18720219292898582,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-14,2.33,12797231.0,0.008658008658008587,2.306,2.3205,0.013043478260869712,-0.06048387096774188,-0.1853146853146852,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.4593250369600874,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-15,2.36,6468449.0,0.012875536480686511,2.318,2.3175,0.026086956521739202,-0.024793388429752095,-0.1748251748251748,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.3193831820310814,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-16,2.34,9752036.0,-0.008474576271186418,2.3280000000000003,2.3139999999999996,0.02183406113537112,-0.02904564315352709,-0.18181818181818188,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.7404996467408712,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-17,2.39,26546000.0,0.021367521367521514,2.346,2.3139999999999996,0.039130434782608914,0.0,-0.16433566433566427,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.6704126324576151,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-20,2.48,15618000.0,0.03765690376569042,2.38,2.32,0.07359307359307365,0.05084745762711873,-0.1328671328671328,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.4311692328443041,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-21,2.41,12670724.0,-0.028225806451612878,2.396,2.3235,0.03433476394849788,0.02991452991453003,-0.1573426573426573,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.6785151245269221,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-22,2.45,8863179.0,0.016597510373443924,2.414,2.3295,0.038135593220339103,0.051502145922746934,-0.14335664335664322,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.14565338880772025,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-23,2.39,48608260.0,-0.02448979591836742,2.4240000000000004,2.3329999999999997,0.021367521367521514,0.030172413793103647,-0.16433566433566427,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,1.4213799716896964,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-24,2.35,20256000.0,-0.01673640167364021,2.416,2.3355,-0.01673640167364021,0.021739130434782705,-0.17832167832167822,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,1.824876074136084,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-27,2.35,12721197.0,0.0,2.39,2.34,-0.05241935483870963,0.039823008849557695,-0.17832167832167822,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.583565693210334,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-28,2.4,10236474.0,0.02127659574468077,2.3880000000000003,2.3455000000000004,-0.004149377593361092,0.048034934497816595,-0.16083916083916083,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.10714620106959283,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-29,2.38,20050674.0,-0.008333333333333304,2.3739999999999997,2.3515,-0.028571428571428692,0.053097345132743445,-0.1678321678321678,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-1.231537957601086,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-30,2.37,21498491.0,-0.004201680672268782,2.37,2.3565,-0.008368200836820106,0.04405286343612347,-0.17132867132867124,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.7723627410661857,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-31,2.31,24974911.0,-0.025316455696202556,2.3619999999999997,2.3575,-0.017021276595744705,0.008733624454148492,-0.1923076923076923,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.26796611020720057,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.5
2026-08-03,2.29,15638454.0,-0.008658008658008698,2.35,2.3549999999999995,-0.025531914893617058,-0.02136752136752129,-0.19930069930069927,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.2665730023517856,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-08-04,2.29,18242513.0,0.0,2.3280000000000003,2.3545000000000003,-0.04583333333333328,-0.004347826086956386,-0.19930069930069927,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.782555564932586,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-08-05,2.28,16850100.0,-0.004366812227074357,2.3080000000000003,2.3535,-0.04201680672268915,-0.008695652173913104,-0.2027972027972028,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.7493027463064925,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-08-06,2.26,17824347.0,-0.00877192982456143,2.286,2.352,-0.04641350210970474,-0.013100436681222849,-0.2097902097902098,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.8984146250574708,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-08-07,2.24,13879648.0,-0.008849557522123686,2.2720000000000002,2.3489999999999998,-0.030303030303030276,-0.02608695652173898,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.10587603947278254,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.75
2026-08-10,2.26,11200000.0,0.008928571428571175,2.266,2.3465,-0.013100436681222849,-0.0216450216450218,-0.2097902097902098,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,1.2843845345240748,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-08-11,2.27,5563929.0,0.004424778761062065,2.2619999999999996,2.3434999999999997,-0.008733624454148492,-0.025751072961373467,-0.20629370629370625,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.3333828856332181,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-08-12,2.26,6640300.0,-0.00440528634361248,2.258,2.3385,-0.00877192982456143,-0.0423728813559322,-0.2097902097902098,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.014750260127301422,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-08-13,2.24,12020079.0,-0.008849557522123686,2.254,2.3335,-0.008849557522123686,-0.04273504273504258,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.20266607679583187,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-08-14,2.24,14200015.0,0.0,2.254,2.326,0.0,-0.06276150627615062,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.34207485636760404,BULLISH_STABLE,HOLD,Medium,matrix,1.0,0.75,0.5
2026-08-17,2.24,7111936.0,0.0,2.25,2.314,-0.008849557522123686,-0.09677419354838701,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.025134456082785476,BULLISH_STABLE,HOLD,Medium,matrix,1.0,0.75,0.75
2026-08-18,2.24,4163768.0,0.0,2.244,2.3055,-0.013215859030836885,-0.0705394190871369,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.19396309610426518,BULLISH_STABLE,HOLD,Medium,matrix,1.0,0.75,0.75
2026-08-19,2.24,12011037.0,0.0,2.24,2.295,-0.008849557522123686,-0.08571428571428574,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.2559205949819729,BULLISH_STABLE,HOLD,Medium,matrix,1.0,0.75,0.75
2026-08-20,2.24,18892450.0,0.0,2.24,2.2875,0.0,-0.06276150627615062,-0.21678321678321666,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.6519529475593323,BULLISH_STABLE,HOLD,Medium,matrix,1.0,0.75,0.75
2026-08-21,2.19,34867231.0,-0.022321428571428714,2.23,2.2794999999999996,-0.022321428571428714,-0.06808510638297882,-0.23426573426573427,Breakdown,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-1.0005331291994741,BULLISH_STABLE,HOLD,Low,fallback,1.0,0.75,0.75
2026-08-24,2.04,67612144.0,-0.06849315068493145,2.1900000000000004,2.264,-0.0892857142857143,-0.13191489361702124,-0.28671328671328666,Breakdown,Improving,STRUCTURAL_BULLISH,F↓,,,BULLISH_STABLE,HOLD,Low,fallback,1.0,0.75,0.75
