module,prod_reachable,authority,decision_critical,decision
evaluation.decision_surface_audit,False,NONE,False,RESEARCH_ONLY
evaluation.fpfn_lab,False,NONE,False,RESEARCH_ONLY
evaluation.governance_alpha,False,NONE,False,RESEARCH_ONLY
evaluation.miss_analysis,False,NONE,False,RESEARCH_ONLY
evaluation.module_value,False,NONE,False,RESEARCH_ONLY
evaluation.no_trade,False,NONE,False,RESEARCH_ONLY
evaluation.opportunity_funnel,False,NONE,False,RESEARCH_ONLY
evaluation.override_outcome_review,False,NONE,False,RESEARCH_ONLY
evaluation.permission_value,False,NONE,False,RESEARCH_ONLY
evaluation.position_lifecycle,False,NONE,False,RESEARCH_ONLY
evaluation.regime_matrix,False,NONE,False,RESEARCH_ONLY
evaluation.regret,False,NONE,False,RESEARCH_ONLY
evaluation.retail_scorecard,False,NONE,False,RESEARCH_ONLY
evaluation.risk_reduction_attribution,False,NONE,False,RESEARCH_ONLY
evaluation.timing_alpha,False,NONE,False,RESEARCH_ONLY
evaluation.trade_outcome,False,NONE,False,RESEARCH_ONLY
evaluation.wave_quality_matrix,False,NONE,False,RESEARCH_ONLY
evidence.snapshot,True,NONE,False,MERGE
execution.capacity,False,NONE,False,RESEARCH_ONLY
execution.executable_target,False,NONE,False,RESEARCH_ONLY
execution.execution_gate,True,NONE,False,MERGE
execution.liquidity_exit,False,NONE,False,RESEARCH_ONLY
execution.order_state_machine,False,NONE,False,RESEARCH_ONLY
execution.simulator,False,NONE,False,RESEARCH_ONLY
explainability.engine,False,NONE,False,RESEARCH_ONLY
explainability.graph,False,NONE,False,RESEARCH_ONLY
failure.decision_error_taxonomy,False,NONE,False,RESEARCH_ONLY
failure.degradation,False,NONE,False,RESEARCH_ONLY
failure.failure_modes,False,NONE,False,RESEARCH_ONLY
failure.loss_cluster,False,NONE,False,RESEARCH_ONLY
fsm.transition_matrix,False,NONE,False,RESEARCH_ONLY
fusion.anti_inference,False,NONE,False,RESEARCH_ONLY
fusion.chip_confidence,False,NONE,False,RESEARCH_ONLY
fusion.daily_timing,False,NONE,False,RESEARCH_ONLY
fusion.mtf_alignment,False,NONE,False,RESEARCH_ONLY
fusion.mtf_fsm,False,NONE,False,RESEARCH_ONLY
governance.architecture_conformance,False,NONE,False,RESEARCH_ONLY
governance.artifact_registry,False,NONE,False,RESEARCH_ONLY
governance.autonomy,False,NONE,False,RESEARCH_ONLY
governance.certification,False,NONE,False,RESEARCH_ONLY
governance.certification_scope,False,NONE,False,RESEARCH_ONLY
governance.change_impact,False,NONE,False,RESEARCH_ONLY
governance.completeness_review,False,NONE,False,RESEARCH_ONLY
governance.complexity_budget,False,NONE,False,RESEARCH_ONLY
governance.complexity_ceiling,False,NONE,False,RESEARCH_ONLY
governance.conflict,True,NONE,False,MERGE
governance.convergence_release,False,NONE,False,RESEARCH_ONLY
governance.cross_layer_contradiction,False,NONE,False,RESEARCH_ONLY
governance.dead_authority,False,NONE,False,RESEARCH_ONLY
governance.decision_changelog,False,NONE,False,RESEARCH_ONLY
governance.decision_necessity,False,NONE,False,RESEARCH_ONLY
governance.determinism,False,NONE,False,RESEARCH_ONLY
governance.doubt_index,False,NONE,False,RESEARCH_ONLY
governance.duplicate_logic_detector,False,NONE,False,RESEARCH_ONLY
governance.evidence_expiry,False,NONE,False,RESEARCH_ONLY
governance.evidence_provider,False,NONE,False,RESEARCH_ONLY
governance.failure_injection,False,NONE,False,RESEARCH_ONLY
governance.feature_freeze,False,NONE,False,RESEARCH_ONLY
governance.feature_gate,True,NONE,False,MERGE
governance.final_design_principles,False,NONE,False,RESEARCH_ONLY
governance.golden_decision_corpus,False,NONE,False,RESEARCH_ONLY
governance.governance_aging,False,NONE,False,RESEARCH_ONLY
governance.governance_minimalism,False,NONE,False,RESEARCH_ONLY
governance.human_override,False,NONE,False,RESEARCH_ONLY
governance.lifecycle,False,NONE,False,RESEARCH_ONLY
governance.minimal_governed_core,False,NONE,False,RESEARCH_ONLY
governance.minimal_trusted_release,False,NONE,False,RESEARCH_ONLY
governance.model_decay,False,NONE,False,RESEARCH_ONLY
governance.module_retirement,False,NONE,False,RESEARCH_ONLY
governance.module_trim,False,NONE,False,RESEARCH_ONLY
governance.one_page_canonical,False,NONE,False,RESEARCH_ONLY
governance.performance_metric_contract,False,NONE,False,RESEARCH_ONLY
governance.production_acceptance,False,NONE,False,RESEARCH_ONLY
governance.production_dependency_allowlist,False,NONE,False,RESEARCH_ONLY
governance.production_evidence_pack,False,NONE,False,RESEARCH_ONLY
governance.production_feature_manifest,True,NONE,False,MERGE
governance.production_simplicity_kpi,False,NONE,False,RESEARCH_ONLY
governance.promotion_gate,False,NONE,False,RESEARCH_ONLY
governance.provenance,False,NONE,False,RESEARCH_ONLY
governance.pwc2_authority_graph,False,NONE,False,RESEARCH_ONLY
governance.reentry,False,NONE,False,RESEARCH_ONLY
governance.release_manifest,False,NONE,False,RESEARCH_ONLY
governance.research_debt_register,False,NONE,False,RESEARCH_ONLY
governance.research_guard,False,NONE,False,RESEARCH_ONLY
governance.research_production_leakage,False,NONE,False,RESEARCH_ONLY
governance.rule_ownership,False,NONE,False,RESEARCH_ONLY
governance.rule_removal_test,False,NONE,False,RESEARCH_ONLY
governance.shadow_divergence,False,NONE,False,RESEARCH_ONLY
governance.simplification_release,False,NONE,False,RESEARCH_ONLY
governance.sunset_policy,False,NONE,False,RESEARCH_ONLY
governance.system_constitution,False,NONE,False,RESEARCH_ONLY
governance.three_worlds,False,NONE,False,RESEARCH_ONLY
governance.trade_frequency,False,NONE,False,RESEARCH_ONLY
governance.validation_certificate,False,FORMAL_RESEARCH_STATUS,True,RESEARCH_ONLY
governance.version_impact,False,NONE,False,RESEARCH_ONLY
governance.zero_trust,False,NONE,False,RESEARCH_ONLY
institutional.confidence,False,NONE,False,RESEARCH_ONLY
institutional.divergence,False,NONE,False,RESEARCH_ONLY
institutional.permission,False,NONE,False,RESEARCH_ONLY
institutional.persistence,False,NONE,False,RESEARCH_ONLY
institutional.pressure,False,NONE,False,RESEARCH_ONLY
institutional.state_engine,False,NONE,False,RESEARCH_ONLY
learning.adaptive_sandbox,False,NONE,False,RESEARCH_ONLY
learning.controlled_loop,False,NONE,False,RESEARCH_ONLY
learning.post_trade,False,NONE,False,RESEARCH_ONLY
market.opportunity_regime,False,NONE,False,RESEARCH_ONLY
market.regime,True,NONE,False,MERGE
